species,Phylum,Class,Order,Family,source,speciemens barcoded,speciemens,public BINs,verified by,status,BOLD taxid,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
Merrifieldia spicidactyla,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"BOLD,LF",3.0,3.0,0.0,,,892072.0,,,,,,,
Merrifieldia tridactyla,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"BOLD,FE,LF",34.0,39.0,1.0,LF,,205692.0,508718.0,,,,,,
Oidaematophorus constanti,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"BOLD,FE,LF",7.0,9.0,0.0,,,352319.0,,,,,,,
Oidaematophorus giganteus,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"BOLD,FE,LF",1.0,2.0,1.0,,,352318.0,,,,,,,
Oidaematophorus lithodactyla,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"BOLD,FE,LF",17.0,19.0,2.0,,,179056.0,,,,,,,
Oidaematophorus rogenhoferi,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"BOLD,FE,LF",25.0,31.0,1.0,,,266477.0,,,,,,,
Oidaematophorus vafradactylus,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"BOLD,FE,LF",2.0,2.0,1.0,,,347246.0,,,,,,,
Oxyptilus chrysodactyla,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"BOLD,FE,LF,iNat",12.0,18.0,1.0,,,258090.0,,,,,,,
Oxyptilus distans,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"BOLD,LF",6.0,6.0,1.0,,,311448.0,,,,,,,
Oxyptilus ericetorum,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"BOLD,FE,LF",4.0,8.0,1.0,,,179189.0,,,,,,,
Oxyptilus kollari,Arthropoda,Insecta,Lepidoptera,Pterophoridae,LF,0.0,1.0,0.0,,gap,285569.0,,,,,,,
Oxyptilus laetus,Arthropoda,Insecta,Lepidoptera,Pterophoridae,LF,,,,,gap,,,,,,,,
Oxyptilus parvidactyla,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"BOLD,FE,LF",50.0,55.0,1.0,BEL,,179023.0,1066699.0,,,,,,
Oxyptilus pilosellae,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"BOLD,FE,LF",64.0,77.0,3.0,,,179187.0,,,,,,,
Oxyptilus tristis,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"BOLD,LF",14.0,18.0,1.0,,,776674.0,,,,,,,
Paracapperia anatolicus,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"FE,LF",,,,,gap,,,,,,,,
