"me.species","me.records","me.auc","null.auc"
"Metzneria expositoi.csv",93,0.8744,0.638870967741936
"Metzneria varennei.csv",17,0.8943,0.752352941176471
"Micropterix aglaella.csv",41,0.818,0.679975609756098
"Micropterix ibericella.csv",38,0.9087,0.671605263157895
"Minetia adamczewskii.csv",22,0.8859,0.727409090909091
"Mniotype usurpatrix.csv",8,0.9856,0.822
"Mompha bradleyi.csv",15,0.9195,0.713533333333333
"Mompha jurassicella.csv",85,0.9308,0.644729411764706
"Monochroa palustrella.csv",144,0.936,0.613965277777778
"Monopis pallidella.csv",5,0.8803,0.8948
"Myelois cribratella.csv",15,0.83,0.783533333333333
"Mythimna alopecuri.csv",14,0.8573,0.7595
"Mythimna sicula f. scirpi.csv",673,0.8119,0.56002897473997
"Mythimna sicula f. sicula.csv",673,0.8142,0.562704309063893
"Mythimna valeriae.csv",1523,0.8432,0.544338804990151
"Nematopogon caliginella.csv",413,0.8552,0.57356416464891
"Nemophora albiciliellus.csv",19,0.7601,0.737842105263158
"Nola chlamytulalis.csv",75,0.8677,0.65708
"Nola strigula.csv",1118,0.8312,0.550197674418605
"Nola subchlamytula.csv",97,0.8421,0.639072164948454
"Nola togatulalis.csv",158,0.8539,0.608541139240506
"Novotinea liguriella.csv",5,0.9277,0.8921
"Nyctegretis ruminella.csv",5,0.8643,0.8743
"Nycteola svecicus.csv",5,0.5855,0.8652
"Ochropleura renigera.csv",73,0.9488,0.648150684931507
"Ocnogyna boeticum.csv",70,0.9045,0.639342857142857
"Ocnogyna clathrata.csv",31,0.956,0.702677419354839
"Ocnogyna corsicum.csv",15,0.978,0.7518
"Ocnogyna loewii.csv",31,0.957,0.712838709677419
"Orenaia ventosalis.csv",5,0.9419,0.8992
"Oreopsyche vorbrodtella.csv",12,0.9909,0.794833333333333
"Orthophygia glaucinalis.csv",47,0.835,0.672212765957447
"Oxicesta chamoenices.csv",26,0.9063,0.717653846153846
"Oxyptilus laetus.csv",149,0.8462,0.614355704697987
"Pachycnemia benesignata.csv",1102,0.8331,0.54790335753176
"Pachypasa limosa.csv",104,0.8662,0.640384615384615
"Paradrymonia vittata.csv",11,0.8913,0.776
"Parahyponomeuta bakeri.csv",46,0.8281,0.678195652173913
"Paramesia alhamana.csv",14,0.8223,0.770571428571429
"Pardoxia graellsii.csv",35,0.9287,0.698114285714286
"Parornix eppelsheimi.csv",44,0.8032,0.676636363636364
"Pediasia bolivarellus.csv",5,0.9505,0.8802
"Pediasia kenderesiensis.csv",397,0.8901,0.57061838790932
"Pediasia matricella.csv",5,0.711,0.9149
"Pediasia ribbeellus.csv",33,0.9398,0.697606060606061
"Pediasia siculellus.csv",13,0.93,0.769384615384615
"Pelochrista fusculana.csv",5,0.9235,0.9014
"Pelochrista obscura.csv",8,0.9246,0.812625
"Pempelia brephiella.csv",26,0.8667,0.718961538461538
"Pempeliella ardosiella.csv",24,0.867,0.709708333333333
"Perconia baeticaria.csv",13,0.9364,0.770307692307692
"Perittia piperatella.csv",7,0.8755,0.795785714285714
